ID_REF,Gene Symbol,Gene Title,Normal_Mean,Tumor_Mean,Log2_Fold_Change,P_Value,Adjusted_P_Value
201105_at,LGALS1,"lectin, galactoside-binding, soluble, 1",2913.2159302325576,1406.174976744186,-1.0503060452915889,8.599095588490715e-08,6.3871215666112875e-06
203799_at,CD302 /// LY75 /// LY75-CD302,CD302 molecule /// lymphocyte antigen 75 /// LY75-CD302 readthrough,930.9747906976745,451.27900465116284,-1.043077905617889,8.829785288346986e-08,6.53668124851282e-06
209458_x_at,HBA1 /// HBA2,"hemoglobin, alpha 1 /// hemoglobin, alpha 2",3201.2709302325575,529.0273953488373,-2.5949565383661812,8.952840794904507e-08,6.605832828902554e-06
212281_s_at,TMEM97,transmembrane protein 97,110.73442093023256,589.3628860465117,2.4015283360503075,9.462321933301861e-08,6.935819724992282e-06
214063_s_at,TF,transferrin,1235.5847372093024,212.57566511627908,-2.53354192373319,9.539255074520129e-08,6.969285928705969e-06
210740_s_at,ITPK1,inositol-tetrakisphosphate 1-kinase,1307.149465116279,515.3667674418604,-1.3410593289843762,9.578532307978064e-08,6.9751122685841575e-06
213518_at,PRKCI,"protein kinase C, iota",317.1925558139535,686.9609604651164,1.1124266151337296,1.051407765515134e-07,7.582045061156548e-06
212653_s_at,EHBP1,EH domain binding protein 1,1515.0880465116277,544.2524651162789,-1.4753572476726464,1.0720579726055134e-07,7.681243666742333e-06
202193_at,LIMK2,LIM domain kinase 2,399.8597906976744,935.057811627907,1.2234999230795396,1.1357847002044502e-07,8.085843602126441e-06
219093_at,PID1,phosphotyrosine interaction domain containing 1,829.8926046511624,305.64995116279067,-1.4380692951917307,1.1751305849440891e-07,8.339310453601636e-06
206262_at,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",1002.3262093023254,499.8892465116282,-1.0022271984514177,1.2075960604049556e-07,8.48197823212921e-06
216331_at,ITGA7,"integrin, alpha 7",708.712911627907,188.2378511627907,-1.9070348692288541,1.210460475616878e-07,8.48197823212921e-06
208737_at,ATP6V1G1,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1",488.0880465116281,1079.317013953488,1.1432886163678992,1.240921481348795e-07,8.668167200280626e-06
202724_s_at,FOXO1,forkhead box O1,1291.8135813953488,602.0454441860464,-1.1001756295488399,1.3075374347993795e-07,9.076590859699244e-06
202768_at,FOSB,FBJ murine osteosarcoma viral oncogene homolog B,2128.2044883720937,506.16341860465093,-2.0697919189779315,1.5641871092387e-07,1.0691650722443545e-05
210678_s_at,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,506.7685720930233,246.91198604651152,-1.0343430788395023,1.569213194428289e-07,1.069320416252158e-05
202112_at,VWF,von Willebrand factor,1549.3290465116281,664.1894906976745,-1.220737169108183,1.7401049691177986e-07,1.1679144285196358e-05
219054_at,NPR3,natriuretic peptide receptor 3,1482.083511627907,668.9992139534884,-1.146368529348053,1.7515221205459917e-07,1.1720470694332233e-05
201417_at,SOX4,SRY (sex determining region Y)-box 4,472.17468139534895,1450.2762,1.6168773272004273,2.2903668272418805e-07,1.4922878365915445e-05
213515_x_at,HBG1 /// HBG2,"hemoglobin, gamma A /// hemoglobin, gamma G",1234.3160139534884,461.3629651162791,-1.41778240498764,2.3029715091306068e-07,1.4961257766168312e-05
214677_x_at,IGLC1,immunoglobulin lambda constant 1 (Mcg marker),902.9870558139534,2950.064995348837,1.7068616756118757,2.485412906131093e-07,1.600649011194195e-05
205022_s_at,FOXN3,forkhead box N3,299.757534883721,92.98976279069765,-1.678025347212671,2.546772182084092e-07,1.6354387473596492e-05
210715_s_at,SPINT2,"serine peptidase inhibitor, Kunitz type, 2",456.81677674418603,1399.9403023255816,1.6135532434399378,2.5583612485730287e-07,1.6381598764928967e-05
210831_s_at,PTGER3,prostaglandin E receptor 3 (subtype EP3),643.5193581395349,277.34262558139534,-1.2113618296840074,2.6234450057835714e-07,1.670235001825009e-05
205968_at,KCNS3,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",483.30987441860464,1102.7730232558142,1.188441207972968,3.004967035409042e-07,1.8915163968932115e-05
214212_x_at,FERMT2,fermitin family member 2,451.24977906976744,203.35975116279067,-1.1460087139064534,3.3413538161730784e-07,2.0673173136272314e-05
201448_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,226.1594511627907,546.8940744186046,1.2701916694981619,3.3491969224046607e-07,2.0673173136272314e-05
202982_s_at,ACOT1 /// ACOT2,acyl-CoA thioesterase 1 /// acyl-CoA thioesterase 2,599.1253372093025,144.8821511627907,-2.0404604627595493,3.372368107404319e-07,2.075869572853327e-05
209008_x_at,KRT8,keratin 8,841.4356976744186,1784.8397906976738,1.083964184735567,3.673289473261421e-07,2.2383196841891656e-05
212915_at,PDZRN3,PDZ domain containing ring finger 3,861.197093023256,423.634488372093,-1.0217961481509994,3.781989544084501e-07,2.2838502170957975e-05
212993_at,NACC2,"NACC family member 2, BEN and BTB (POZ) domain containing",439.25390232558146,190.43380930232556,-1.2014901438499053,3.828920624148937e-07,2.305941574808399e-05
209604_s_at,GATA3,GATA binding protein 3,1314.326418604651,2813.9263488372094,1.0976763043443383,3.858802477667869e-07,2.3176737361151785e-05
208651_x_at,CD24,CD24 molecule,1123.6807906976746,2434.216906976745,1.1145346894316022,4.5120978517777775e-07,2.638925890581738e-05
209603_at,GATA3,GATA binding protein 3,322.99090232558143,1170.381153488372,1.8541853801583625,4.5603734503170026e-07,2.6532324175826048e-05
204276_at,TK2,"thymidine kinase 2, mitochondrial",464.72380930232555,230.29483488372094,-1.0097415901984164,4.7597004323983313e-07,2.7619897066440632e-05
209487_at,RBPMS,RNA binding protein with multiple splicing,1452.52081627907,677.8693279069767,-1.0983459235638726,4.835193388927229e-07,2.7840468807613814e-05
221024_s_at,SLC2A10,"solute carrier family 2 (facilitated glucose transporter), member 10",444.09313720930226,1345.171186046512,1.5966827206452217,4.813144468928801e-07,2.7840468807613814e-05
